Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2012-05-02,Alcaldia object (101),0.00,13.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-05-03,Alcaldia object (101),0.00,13.50,31.50,0,2020-07-12 08:36:42+00:00,
2012-05-04,Alcaldia object (101),0.00,13.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-05-05,Alcaldia object (101),1.00,14.00,29.50,0,2020-07-12 08:36:42+00:00,
2012-05-06,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-05-07,Alcaldia object (101),1.00,12.00,32.00,0,2020-07-12 08:36:42+00:00,
2012-05-08,Alcaldia object (101),1.50,12.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-05-09,Alcaldia object (101),8.50,15.50,26.00,0,2020-07-12 08:36:42+00:00,
2012-05-10,Alcaldia object (101),0.00,14.00,25.50,0,2020-07-12 08:36:42+00:00,
2012-05-11,Alcaldia object (101),0.00,14.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-05-12,Alcaldia object (101),2.50,12.50,27.50,1,2020-07-12 08:36:42+00:00,
2012-05-13,Alcaldia object (101),0.00,8.00,21.50,0,2020-07-12 08:36:42+00:00,
2012-05-14,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-05-15,Alcaldia object (101),0.00,12.50,27.00,0,2020-07-12 08:36:42+00:00,
2012-05-16,Alcaldia object (101),13.40,12.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-05-17,Alcaldia object (101),0.00,13.50,24.00,0,2020-07-12 08:36:42+00:00,
2012-05-18,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-05-19,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:36:42+00:00,
2012-05-20,Alcaldia object (101),0.00,9.50,27.00,0,2020-07-12 08:36:42+00:00,
2012-05-21,Alcaldia object (101),0.00,10.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-05-22,Alcaldia object (101),0.00,11.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-05-23,Alcaldia object (101),0.00,11.50,29.50,0,2020-07-12 08:36:42+00:00,
2012-05-24,Alcaldia object (101),0.30,12.50,29.50,0,2020-07-12 08:36:42+00:00,
2012-05-25,Alcaldia object (101),0.00,13.50,30.50,0,2020-07-12 08:36:42+00:00,
