Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2018-07-26,Alcaldia object (101),2.60,14.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-07-27,Alcaldia object (101),0.01,13.00,28.00,0,2020-07-12 08:37:06+00:00,
2018-07-28,Alcaldia object (101),0.00,13.50,27.50,0,2020-07-12 08:37:06+00:00,
2018-07-29,Alcaldia object (101),0.00,13.00,28.50,0,2020-07-12 08:37:06+00:00,
2018-07-30,Alcaldia object (101),0.01,12.50,28.00,0,2020-07-12 08:37:06+00:00,
2018-07-31,Alcaldia object (101),3.50,12.50,26.50,0,2020-07-12 08:37:06+00:00,
2018-08-01,Alcaldia object (101),0.00,14.00,26.50,0,2020-07-12 08:37:06+00:00,
2018-08-02,Alcaldia object (101),0.01,14.00,25.50,0,2020-07-12 08:37:06+00:00,
2018-08-03,Alcaldia object (101),5.60,11.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-08-04,Alcaldia object (101),4.00,13.50,21.00,0,2020-07-12 08:37:06+00:00,
2018-08-05,Alcaldia object (101),8.00,13.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-08-06,Alcaldia object (101),21.50,13.50,25.50,0,2020-07-12 08:37:06+00:00,
2018-08-07,Alcaldia object (101),12.00,13.50,25.00,0,2020-07-12 08:37:06+00:00,
2018-08-08,Alcaldia object (101),0.80,12.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-08-09,Alcaldia object (101),2.10,10.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-08-10,Alcaldia object (101),19.30,14.00,25.50,0,2020-07-12 08:37:06+00:00,
2018-08-11,Alcaldia object (101),15.40,13.50,25.00,0,2020-07-12 08:37:06+00:00,
2018-08-12,Alcaldia object (101),4.00,13.00,22.00,0,2020-07-12 08:37:07+00:00,
2018-08-13,Alcaldia object (101),3.00,11.50,24.00,0,2020-07-12 08:37:07+00:00,
2018-08-14,Alcaldia object (101),0.00,11.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-08-15,Alcaldia object (101),21.50,13.00,24.50,0,2020-07-12 08:37:07+00:00,
2018-08-16,Alcaldia object (101),0.80,12.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-08-17,Alcaldia object (101),16.00,12.50,26.00,0,2020-07-12 08:37:07+00:00,
2018-08-18,Alcaldia object (101),0.01,13.50,25.00,0,2020-07-12 08:37:07+00:00,
2018-08-19,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-08-20,Alcaldia object (101),0.00,14.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-08-21,Alcaldia object (101),0.00,14.00,23.00,0,2020-07-12 08:37:07+00:00,
2018-08-22,Alcaldia object (101),0.01,14.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-08-23,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-08-24,Alcaldia object (101),2.80,13.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-08-25,Alcaldia object (101),7.70,13.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-08-26,Alcaldia object (101),0.01,13.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-08-27,Alcaldia object (101),12.50,10.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-08-28,Alcaldia object (101),3.60,14.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-08-29,Alcaldia object (101),0.00,14.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-08-30,Alcaldia object (101),7.20,15.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-08-31,Alcaldia object (101),10.70,13.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-09-01,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-09-02,Alcaldia object (101),0.01,13.50,27.00,0,2020-07-12 08:37:07+00:00,
2018-09-03,Alcaldia object (101),1.00,14.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-04,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-05,Alcaldia object (101),1.60,13.00,24.50,0,2020-07-12 08:37:07+00:00,
2018-09-06,Alcaldia object (101),3.80,14.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-09-07,Alcaldia object (101),0.00,14.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-09-08,Alcaldia object (101),0.00,12.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-09-09,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:37:07+00:00,
