Fecha,Colonia,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2017-05-04,Colonia object (1),8.50,14.00,29.50,0,2020-07-19 19:58:53+00:00,
2017-05-05,Colonia object (1),1.00,13.50,26.00,0,2020-07-19 19:58:53+00:00,
2017-05-06,Colonia object (1),0.00,11.00,28.00,0,2020-07-19 19:58:54+00:00,
2017-05-07,Colonia object (1),0.00,11.00,29.50,0,2020-07-19 19:58:54+00:00,
2017-05-08,Colonia object (1),0.00,12.00,29.50,0,2020-07-19 19:58:54+00:00,
2017-05-09,Colonia object (1),0.00,13.50,28.00,0,2020-07-19 19:58:54+00:00,
2017-05-10,Colonia object (1),0.00,13.50,30.00,0,2020-07-19 19:58:54+00:00,
2017-05-11,Colonia object (1),4.90,14.00,31.00,0,2020-07-19 19:58:54+00:00,
2017-05-12,Colonia object (1),1.00,12.50,28.00,0,2020-07-19 19:58:54+00:00,
2017-05-13,Colonia object (1),0.00,13.00,29.00,0,2020-07-19 19:58:54+00:00,
2017-05-14,Colonia object (1),0.00,13.50,26.00,0,2020-07-19 19:58:54+00:00,
2017-05-15,Colonia object (1),0.00,13.50,30.50,0,2020-07-19 19:58:54+00:00,
2017-05-16,Colonia object (1),0.00,14.00,31.00,0,2020-07-19 19:58:54+00:00,
2017-05-17,Colonia object (1),0.00,15.50,31.50,0,2020-07-19 19:58:54+00:00,
2017-05-18,Colonia object (1),0.00,16.00,32.00,0,2020-07-19 19:58:54+00:00,
2017-05-19,Colonia object (1),0.00,16.00,32.00,0,2020-07-19 19:58:54+00:00,
2017-05-20,Colonia object (1),0.00,16.00,32.50,0,2020-07-19 19:58:54+00:00,
2017-05-21,Colonia object (1),8.90,15.00,31.50,0,2020-07-19 19:58:54+00:00,
2017-05-22,Colonia object (1),0.00,13.50,31.50,0,2020-07-19 19:58:54+00:00,
2017-05-23,Colonia object (1),0.00,16.00,32.00,0,2020-07-19 19:58:54+00:00,
2017-05-24,Colonia object (1),1.90,16.50,31.00,0,2020-07-19 19:58:54+00:00,
2017-05-25,Colonia object (1),16.00,15.00,29.50,1,2020-07-19 19:58:54+00:00,
2017-05-26,Colonia object (1),0.00,13.50,30.00,0,2020-07-19 19:58:54+00:00,
2017-05-27,Colonia object (1),0.00,13.00,30.00,0,2020-07-19 19:58:54+00:00,
2017-05-28,Colonia object (1),0.00,15.00,29.50,0,2020-07-19 19:58:54+00:00,
2017-05-29,Colonia object (1),0.00,16.00,28.50,0,2020-07-19 19:58:54+00:00,
2017-05-30,Colonia object (1),0.00,15.00,26.50,0,2020-07-19 19:58:54+00:00,
2017-05-31,Colonia object (1),0.40,15.00,25.50,0,2020-07-19 19:58:54+00:00,
2017-06-01,Colonia object (1),0.00,16.00,25.50,0,2020-07-19 19:58:54+00:00,
2017-06-02,Colonia object (1),0.00,14.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-06-03,Colonia object (1),1.00,14.50,30.00,0,2020-07-19 19:58:54+00:00,
2017-06-04,Colonia object (1),0.00,11.00,30.50,0,2020-07-19 19:58:54+00:00,
2017-06-05,Colonia object (1),0.50,14.00,28.50,0,2020-07-19 19:58:54+00:00,
2017-06-06,Colonia object (1),0.00,16.00,27.50,0,2020-07-19 19:58:54+00:00,
2017-06-07,Colonia object (1),10.70,13.00,29.00,1,2020-07-19 19:58:54+00:00,
2017-06-08,Colonia object (1),0.00,13.00,29.00,0,2020-07-19 19:58:54+00:00,
2017-06-09,Colonia object (1),5.60,14.50,27.00,0,2020-07-19 19:58:54+00:00,
2017-06-10,Colonia object (1),14.40,14.00,27.00,1,2020-07-19 19:58:54+00:00,
2017-06-11,Colonia object (1),4.40,14.00,28.00,1,2020-07-19 19:58:54+00:00,
2017-06-12,Colonia object (1),0.00,14.00,28.50,0,2020-07-19 19:58:54+00:00,
2017-06-13,Colonia object (1),5.60,14.50,28.50,0,2020-07-19 19:58:54+00:00,
2017-06-14,Colonia object (1),16.40,14.00,26.50,0,2020-07-19 19:58:54+00:00,
2017-06-15,Colonia object (1),0.00,13.50,27.00,0,2020-07-19 19:58:54+00:00,
2017-06-16,Colonia object (1),0.00,13.50,27.00,0,2020-07-19 19:58:54+00:00,
2017-06-17,Colonia object (1),0.00,12.00,28.00,0,2020-07-19 19:58:54+00:00,
