Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2016-05-23,Alcaldia object (101),2.00,16.00,31.00,0,2020-07-12 08:36:58+00:00,
2016-05-24,Alcaldia object (101),2.80,13.50,31.00,0,2020-07-12 08:36:58+00:00,
2016-05-25,Alcaldia object (101),0.00,14.00,32.00,0,2020-07-12 08:36:58+00:00,
2016-05-26,Alcaldia object (101),15.40,14.50,30.00,0,2020-07-12 08:36:58+00:00,
2016-05-27,Alcaldia object (101),5.80,13.50,29.50,0,2020-07-12 08:36:58+00:00,
2016-05-28,Alcaldia object (101),3.40,13.00,29.00,0,2020-07-12 08:36:58+00:00,
2016-05-29,Alcaldia object (101),9.20,14.00,29.00,0,2020-07-12 08:36:58+00:00,
2016-05-30,Alcaldia object (101),3.80,14.00,29.50,0,2020-07-12 08:36:58+00:00,
2016-05-31,Alcaldia object (101),5.90,12.50,29.00,0,2020-07-12 08:36:58+00:00,
2016-06-01,Alcaldia object (101),20.30,12.50,25.00,1,2020-07-12 08:36:58+00:00,
2016-06-02,Alcaldia object (101),2.20,13.50,25.50,1,2020-07-12 08:36:58+00:00,
2016-06-03,Alcaldia object (101),0.00,13.00,23.50,0,2020-07-12 08:36:58+00:00,
2016-06-04,Alcaldia object (101),0.00,13.50,25.00,0,2020-07-12 08:36:58+00:00,
2016-06-05,Alcaldia object (101),16.00,11.50,25.50,0,2020-07-12 08:36:58+00:00,
2016-06-06,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:36:58+00:00,
2016-06-07,Alcaldia object (101),17.60,13.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-08,Alcaldia object (101),8.60,12.50,27.00,0,2020-07-12 08:36:58+00:00,
2016-06-09,Alcaldia object (101),0.00,11.50,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-10,Alcaldia object (101),7.30,14.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-11,Alcaldia object (101),1.50,15.00,24.00,0,2020-07-12 08:36:58+00:00,
2016-06-12,Alcaldia object (101),4.30,14.50,27.00,0,2020-07-12 08:36:58+00:00,
2016-06-13,Alcaldia object (101),0.00,14.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-14,Alcaldia object (101),0.00,14.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-15,Alcaldia object (101),0.00,14.50,27.00,0,2020-07-12 08:36:58+00:00,
2016-06-16,Alcaldia object (101),22.30,15.00,28.00,0,2020-07-12 08:36:58+00:00,
2016-06-17,Alcaldia object (101),0.00,13.50,22.50,0,2020-07-12 08:36:58+00:00,
2016-06-18,Alcaldia object (101),0.00,13.50,26.50,0,2020-07-12 08:36:58+00:00,
2016-06-19,Alcaldia object (101),0.00,13.00,25.50,0,2020-07-12 08:36:58+00:00,
2016-06-20,Alcaldia object (101),10.80,14.00,23.50,0,2020-07-12 08:36:58+00:00,
2016-06-21,Alcaldia object (101),0.00,14.00,24.00,0,2020-07-12 08:36:58+00:00,
2016-06-22,Alcaldia object (101),1.80,13.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-23,Alcaldia object (101),0.00,11.00,25.50,0,2020-07-12 08:36:58+00:00,
2016-06-24,Alcaldia object (101),0.30,12.00,25.00,0,2020-07-12 08:36:58+00:00,
2016-06-25,Alcaldia object (101),1.00,13.50,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-26,Alcaldia object (101),25.10,15.50,25.00,0,2020-07-12 08:36:58+00:00,
2016-06-27,Alcaldia object (101),4.40,14.00,26.50,0,2020-07-12 08:36:58+00:00,
2016-06-28,Alcaldia object (101),2.00,13.00,26.00,1,2020-07-12 08:36:58+00:00,
2016-06-29,Alcaldia object (101),11.50,12.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-06-30,Alcaldia object (101),8.80,12.00,25.00,0,2020-07-12 08:36:58+00:00,
2016-07-01,Alcaldia object (101),14.30,13.00,25.00,0,2020-07-12 08:36:58+00:00,
2016-07-02,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-07-03,Alcaldia object (101),0.00,12.50,26.50,0,2020-07-12 08:36:58+00:00,
2016-07-04,Alcaldia object (101),0.00,13.00,27.00,0,2020-07-12 08:36:58+00:00,
2016-07-05,Alcaldia object (101),8.00,13.50,26.00,0,2020-07-12 08:36:58+00:00,
2016-07-06,Alcaldia object (101),0.00,13.50,26.50,0,2020-07-12 08:36:58+00:00,
2016-07-07,Alcaldia object (101),2.00,12.50,27.00,0,2020-07-12 08:36:58+00:00,
2016-07-08,Alcaldia object (101),0.00,13.50,27.00,0,2020-07-12 08:36:58+00:00,
2016-07-09,Alcaldia object (101),0.00,13.00,28.00,0,2020-07-12 08:36:58+00:00,
2016-07-10,Alcaldia object (101),0.00,13.00,26.50,0,2020-07-12 08:36:58+00:00,
2016-07-11,Alcaldia object (101),0.00,14.50,25.00,0,2020-07-12 08:36:58+00:00,
2016-07-12,Alcaldia object (101),0.00,14.00,23.50,0,2020-07-12 08:36:58+00:00,
2016-07-13,Alcaldia object (101),4.40,12.50,25.00,0,2020-07-12 08:36:58+00:00,
2016-07-14,Alcaldia object (101),0.00,12.50,24.00,0,2020-07-12 08:36:58+00:00,
2016-07-15,Alcaldia object (101),0.00,12.50,25.50,0,2020-07-12 08:36:58+00:00,
2016-07-16,Alcaldia object (101),3.50,11.00,26.00,0,2020-07-12 08:36:58+00:00,
2016-07-17,Alcaldia object (101),4.70,12.50,25.00,0,2020-07-12 08:36:58+00:00,
2016-07-18,Alcaldia object (101),0.00,13.00,26.50,0,2020-07-12 08:36:58+00:00,
2016-07-19,Alcaldia object (101),0.00,13.50,26.00,0,2020-07-12 08:36:58+00:00,
